kb;geom_3068
4538;POLYGON((20800 36400, 22400 36400, 22400 38800, 20800 38800, 20800 36400))
4041;POLYGON((19200 10000, 20800 10000, 20800 12400, 19200 12400, 19200 10000))
4042;POLYGON((17600 10000, 19200 10000, 19200 12400, 17600 12400, 17600 10000))
4043;POLYGON((16000 10000, 17600 10000, 17600 12400, 16000 12400, 16000 10000))
4044;POLYGON((14400 10000, 16000 10000, 16000 12400, 14400 12400, 14400 10000))
4045;POLYGON((20800 12400, 19200 12400, 19200 14800, 20800 14800, 20800 12400))
4046;POLYGON((17600 12400, 19200 12400, 19200 14800, 17600 14800, 17600 12400))
4047;POLYGON((16000 12400, 17600 12400, 17600 14800, 16000 14800, 16000 12400))
4048;POLYGON((14400 12400, 16000 12400, 16000 14800, 14400 14800, 14400 12400))
4141;POLYGON((19200 14800, 20800 14800, 20800 17200, 19200 17200, 19200 14800))
4142;POLYGON((17600 14800, 19200 14800, 19200 17200, 17600 17200, 17600 14800))
4143;POLYGON((16000 14800, 17600 14800, 17600 17200, 16000 17200, 16000 14800))
4144;POLYGON((14400 14800, 16000 14800, 16000 17200, 14400 17200, 14400 14800))
4145;POLYGON((20800 17200, 19200 17200, 19200 19600, 20800 19600, 20800 17200))
4146;POLYGON((17600 17200, 19200 17200, 19200 19600, 17600 19600, 17600 17200))
4147;POLYGON((16000 17200, 17600 17200, 17600 19600, 16000 19600, 16000 17200))
4148;POLYGON((14400 17200, 16000 17200, 16000 19600, 14400 19600, 14400 17200))
4241;POLYGON((19200 19600, 20800 19600, 20800 22000, 19200 22000, 19200 19600))
4242;POLYGON((17600 19600, 19200 19600, 19200 22000, 17600 22000, 17600 19600))
4243;POLYGON((16000 19600, 17600 19600, 17600 22000, 16000 22000, 16000 19600))
4244;POLYGON((14400 19600, 16000 19600, 16000 22000, 14400 22000, 14400 19600))
4245;POLYGON((20800 22000, 19200 22000, 19200 24400, 20800 24400, 20800 22000))
4246;POLYGON((17600 22000, 19200 22000, 19200 24400, 17600 24400, 17600 22000))
4247;POLYGON((16000 22000, 17600 22000, 17600 24400, 16000 24400, 16000 22000))
4248;POLYGON((14400 22000, 16000 22000, 16000 24400, 14400 24400, 14400 22000))
4341;POLYGON((19200 24400, 20800 24400, 20800 26800, 19200 26800, 19200 24400))
4342;POLYGON((17600 24400, 19200 24400, 19200 26800, 17600 26800, 17600 24400))
4343;POLYGON((16000 24400, 17600 24400, 17600 26800, 16000 26800, 16000 24400))
4344;POLYGON((14400 24400, 16000 24400, 16000 26800, 14400 26800, 14400 24400))
4345;POLYGON((20800 26800, 19200 26800, 19200 29200, 20800 29200, 20800 26800))
4346;POLYGON((17600 26800, 19200 26800, 19200 29200, 17600 29200, 17600 26800))
4347;POLYGON((16000 26800, 17600 26800, 17600 29200, 16000 29200, 16000 26800))
4348;POLYGON((14400 26800, 16000 26800, 16000 29200, 14400 29200, 14400 26800))
4441;POLYGON((19200 29200, 20800 29200, 20800 31600, 19200 31600, 19200 29200))
4442;POLYGON((17600 29200, 19200 29200, 19200 31600, 17600 31600, 17600 29200))
4443;POLYGON((16000 29200, 17600 29200, 17600 31600, 16000 31600, 16000 29200))
4444;POLYGON((14400 29200, 16000 29200, 16000 31600, 14400 31600, 14400 29200))
4445;POLYGON((20800 31600, 19200 31600, 19200 34000, 20800 34000, 20800 31600))
4446;POLYGON((17600 31600, 19200 31600, 19200 34000, 17600 34000, 17600 31600))
4447;POLYGON((16000 31600, 17600 31600, 17600 34000, 16000 34000, 16000 31600))
4448;POLYGON((14400 31600, 16000 31600, 16000 34000, 14400 34000, 14400 31600))
4541;POLYGON((19200 34000, 20800 34000, 20800 36400, 19200 36400, 19200 34000))
4542;POLYGON((17600 34000, 19200 34000, 19200 36400, 17600 36400, 17600 34000))
4543;POLYGON((16000 34000, 17600 34000, 17600 36400, 16000 36400, 16000 34000))
4544;POLYGON((14400 34000, 16000 34000, 16000 36400, 14400 36400, 14400 34000))
4545;POLYGON((20800 36400, 19200 36400, 19200 38800, 20800 38800, 20800 36400))
4546;POLYGON((17600 36400, 19200 36400, 19200 38800, 17600 38800, 17600 36400))
4547;POLYGON((16000 36400, 17600 36400, 17600 38800, 16000 38800, 16000 36400))
4548;POLYGON((14400 36400, 16000 36400, 16000 38800, 14400 38800, 14400 36400))
4051;POLYGON((12800 10000, 14400 10000, 14400 12400, 12800 12400, 12800 10000))
4052;POLYGON((11200 10000, 12800 10000, 12800 12400, 11200 12400, 11200 10000))
4053;POLYGON((9600 10000, 11200 10000, 11200 12400, 9600 12400, 9600 10000))
4054;POLYGON((8000 10000, 9600 10000, 9600 12400, 8000 12400, 8000 10000))
4055;POLYGON((14400 12400, 12800 12400, 12800 14800, 14400 14800, 14400 12400))
4056;POLYGON((11200 12400, 12800 12400, 12800 14800, 11200 14800, 11200 12400))
4057;POLYGON((9600 12400, 11200 12400, 11200 14800, 9600 14800, 9600 12400))
4058;POLYGON((8000 12400, 9600 12400, 9600 14800, 8000 14800, 8000 12400))
4151;POLYGON((12800 14800, 14400 14800, 14400 17200, 12800 17200, 12800 14800))
4152;POLYGON((11200 14800, 12800 14800, 12800 17200, 11200 17200, 11200 14800))
4153;POLYGON((9600 14800, 11200 14800, 11200 17200, 9600 17200, 9600 14800))
4154;POLYGON((8000 14800, 9600 14800, 9600 17200, 8000 17200, 8000 14800))
4155;POLYGON((14400 17200, 12800 17200, 12800 19600, 14400 19600, 14400 17200))
4156;POLYGON((11200 17200, 12800 17200, 12800 19600, 11200 19600, 11200 17200))
4157;POLYGON((9600 17200, 11200 17200, 11200 19600, 9600 19600, 9600 17200))
4158;POLYGON((8000 17200, 9600 17200, 9600 19600, 8000 19600, 8000 17200))
4251;POLYGON((12800 19600, 14400 19600, 14400 22000, 12800 22000, 12800 19600))
4252;POLYGON((11200 19600, 12800 19600, 12800 22000, 11200 22000, 11200 19600))
4253;POLYGON((9600 19600, 11200 19600, 11200 22000, 9600 22000, 9600 19600))
4254;POLYGON((8000 19600, 9600 19600, 9600 22000, 8000 22000, 8000 19600))
4255;POLYGON((14400 22000, 12800 22000, 12800 24400, 14400 24400, 14400 22000))
4256;POLYGON((11200 22000, 12800 22000, 12800 24400, 11200 24400, 11200 22000))
4257;POLYGON((9600 22000, 11200 22000, 11200 24400, 9600 24400, 9600 22000))
4258;POLYGON((8000 22000, 9600 22000, 9600 24400, 8000 24400, 8000 22000))
4351;POLYGON((12800 24400, 14400 24400, 14400 26800, 12800 26800, 12800 24400))
4352;POLYGON((11200 24400, 12800 24400, 12800 26800, 11200 26800, 11200 24400))
4353;POLYGON((9600 24400, 11200 24400, 11200 26800, 9600 26800, 9600 24400))
4354;POLYGON((8000 24400, 9600 24400, 9600 26800, 8000 26800, 8000 24400))
4355;POLYGON((14400 26800, 12800 26800, 12800 29200, 14400 29200, 14400 26800))
4356;POLYGON((11200 26800, 12800 26800, 12800 29200, 11200 29200, 11200 26800))
4357;POLYGON((9600 26800, 11200 26800, 11200 29200, 9600 29200, 9600 26800))
4358;POLYGON((8000 26800, 9600 26800, 9600 29200, 8000 29200, 8000 26800))
4451;POLYGON((12800 29200, 14400 29200, 14400 31600, 12800 31600, 12800 29200))
4452;POLYGON((11200 29200, 12800 29200, 12800 31600, 11200 31600, 11200 29200))
4453;POLYGON((9600 29200, 11200 29200, 11200 31600, 9600 31600, 9600 29200))
4454;POLYGON((8000 29200, 9600 29200, 9600 31600, 8000 31600, 8000 29200))
4455;POLYGON((14400 31600, 12800 31600, 12800 34000, 14400 34000, 14400 31600))
4456;POLYGON((11200 31600, 12800 31600, 12800 34000, 11200 34000, 11200 31600))
4457;POLYGON((9600 31600, 11200 31600, 11200 34000, 9600 34000, 9600 31600))
4458;POLYGON((8000 31600, 9600 31600, 9600 34000, 8000 34000, 8000 31600))
4551;POLYGON((12800 34000, 14400 34000, 14400 36400, 12800 36400, 12800 34000))
4552;POLYGON((11200 34000, 12800 34000, 12800 36400, 11200 36400, 11200 34000))
4553;POLYGON((9600 34000, 11200 34000, 11200 36400, 9600 36400, 9600 34000))
4554;POLYGON((8000 34000, 9600 34000, 9600 36400, 8000 36400, 8000 34000))
4555;POLYGON((14400 36400, 12800 36400, 12800 38800, 14400 38800, 14400 36400))
4556;POLYGON((11200 36400, 12800 36400, 12800 38800, 11200 38800, 11200 36400))
4557;POLYGON((9600 36400, 11200 36400, 11200 38800, 9600 38800, 9600 36400))
4558;POLYGON((8000 36400, 9600 36400, 9600 38800, 8000 38800, 8000 36400))
4061;POLYGON((6400 10000, 8000 10000, 8000 12400, 6400 12400, 6400 10000))
4062;POLYGON((4800 10000, 6400 10000, 6400 12400, 4800 12400, 4800 10000))
4063;POLYGON((3200 10000, 4800 10000, 4800 12400, 3200 12400, 3200 10000))
4064;POLYGON((1600 10000, 3200 10000, 3200 12400, 1600 12400, 1600 10000))
4065;POLYGON((8000 12400, 6400 12400, 6400 14800, 8000 14800, 8000 12400))
4066;POLYGON((4800 12400, 6400 12400, 6400 14800, 4800 14800, 4800 12400))
4067;POLYGON((3200 12400, 4800 12400, 4800 14800, 3200 14800, 3200 12400))
4068;POLYGON((1600 12400, 3200 12400, 3200 14800, 1600 14800, 1600 12400))
4161;POLYGON((6400 14800, 8000 14800, 8000 17200, 6400 17200, 6400 14800))
4162;POLYGON((4800 14800, 6400 14800, 6400 17200, 4800 17200, 4800 14800))
4163;POLYGON((3200 14800, 4800 14800, 4800 17200, 3200 17200, 3200 14800))
4164;POLYGON((1600 14800, 3200 14800, 3200 17200, 1600 17200, 1600 14800))
4165;POLYGON((8000 17200, 6400 17200, 6400 19600, 8000 19600, 8000 17200))
4166;POLYGON((4800 17200, 6400 17200, 6400 19600, 4800 19600, 4800 17200))
4167;POLYGON((3200 17200, 4800 17200, 4800 19600, 3200 19600, 3200 17200))
4168;POLYGON((1600 17200, 3200 17200, 3200 19600, 1600 19600, 1600 17200))
4261;POLYGON((6400 19600, 8000 19600, 8000 22000, 6400 22000, 6400 19600))
4262;POLYGON((4800 19600, 6400 19600, 6400 22000, 4800 22000, 4800 19600))
4263;POLYGON((3200 19600, 4800 19600, 4800 22000, 3200 22000, 3200 19600))
4264;POLYGON((1600 19600, 3200 19600, 3200 22000, 1600 22000, 1600 19600))
4265;POLYGON((8000 22000, 6400 22000, 6400 24400, 8000 24400, 8000 22000))
4266;POLYGON((4800 22000, 6400 22000, 6400 24400, 4800 24400, 4800 22000))
4267;POLYGON((3200 22000, 4800 22000, 4800 24400, 3200 24400, 3200 22000))
4268;POLYGON((1600 22000, 3200 22000, 3200 24400, 1600 24400, 1600 22000))
4361;POLYGON((6400 24400, 8000 24400, 8000 26800, 6400 26800, 6400 24400))
4362;POLYGON((4800 24400, 6400 24400, 6400 26800, 4800 26800, 4800 24400))
4363;POLYGON((3200 24400, 4800 24400, 4800 26800, 3200 26800, 3200 24400))
4364;POLYGON((1600 24400, 3200 24400, 3200 26800, 1600 26800, 1600 24400))
4365;POLYGON((8000 26800, 6400 26800, 6400 29200, 8000 29200, 8000 26800))
4366;POLYGON((4800 26800, 6400 26800, 6400 29200, 4800 29200, 4800 26800))
4367;POLYGON((3200 26800, 4800 26800, 4800 29200, 3200 29200, 3200 26800))
4368;POLYGON((1600 26800, 3200 26800, 3200 29200, 1600 29200, 1600 26800))
4461;POLYGON((6400 29200, 8000 29200, 8000 31600, 6400 31600, 6400 29200))
4462;POLYGON((4800 29200, 6400 29200, 6400 31600, 4800 31600, 4800 29200))
4463;POLYGON((3200 29200, 4800 29200, 4800 31600, 3200 31600, 3200 29200))
4464;POLYGON((1600 29200, 3200 29200, 3200 31600, 1600 31600, 1600 29200))
4465;POLYGON((8000 31600, 6400 31600, 6400 34000, 8000 34000, 8000 31600))
4466;POLYGON((4800 31600, 6400 31600, 6400 34000, 4800 34000, 4800 31600))
4467;POLYGON((3200 31600, 4800 31600, 4800 34000, 3200 34000, 3200 31600))
4468;POLYGON((1600 31600, 3200 31600, 3200 34000, 1600 34000, 1600 31600))
4561;POLYGON((6400 34000, 8000 34000, 8000 36400, 6400 36400, 6400 34000))
4562;POLYGON((4800 34000, 6400 34000, 6400 36400, 4800 36400, 4800 34000))
4563;POLYGON((3200 34000, 4800 34000, 4800 36400, 3200 36400, 3200 34000))
4564;POLYGON((1600 34000, 3200 34000, 3200 36400, 1600 36400, 1600 34000))
4565;POLYGON((8000 36400, 6400 36400, 6400 38800, 8000 38800, 8000 36400))
4566;POLYGON((4800 36400, 6400 36400, 6400 38800, 4800 38800, 4800 36400))
4567;POLYGON((3200 36400, 4800 36400, 4800 38800, 3200 38800, 3200 36400))
4568;POLYGON((1600 36400, 3200 36400, 3200 38800, 1600 38800, 1600 36400))
