kb;geom_3068
2121;POLYGON((46400 5200, 48000 5200, 48000 2800, 46400 2800, 46400 5200))
2122;POLYGON((48000 5200, 49600 5200, 49600 2800, 48000 2800, 48000 5200))
2123;POLYGON((49600 5200, 51200 5200, 51200 2800, 49600 2800, 49600 5200))
2124;POLYGON((51200 5200, 52800 5200, 52800 2800, 51200 2800, 51200 5200))
2125;POLYGON((46400 2800, 48000 2800, 48000 400, 46400 400, 46400 2800))
2126;POLYGON((48000 2800, 49600 2800, 49600 400, 48000 400, 48000 2800))
2127;POLYGON((49600 2800, 51200 2800, 51200 400, 49600 400, 49600 2800))
2128;POLYGON((51200 2800, 52800 2800, 52800 400, 51200 400, 51200 2800))
3011;POLYGON((38400 10000, 40000 10000, 40000 7600, 38400 7600, 38400 10000))
3012;POLYGON((36800 10000, 38400 10000, 38400 7600, 36800 7600, 36800 10000))
3013;POLYGON((35200 10000, 36800 10000, 36800 7600, 35200 7600, 35200 10000))
3014;POLYGON((33600 10000, 35200 10000, 35200 7600, 33600 7600, 33600 10000))
3015;POLYGON((40000 7600, 38400 7600, 38400 5200, 40000 5200, 40000 7600))
3016;POLYGON((36800 7600, 38400 7600, 38400 5200, 36800 5200, 36800 7600))
3017;POLYGON((35200 7600, 36800 7600, 36800 5200, 35200 5200, 35200 7600))
3018;POLYGON((33600 7600, 35200 7600, 35200 5200, 33600 5200, 33600 7600))
3111;POLYGON((38400 5200, 40000 5200, 40000 2800, 38400 2800, 38400 5200))
3112;POLYGON((36800 5200, 38400 5200, 38400 2800, 36800 2800, 36800 5200))
3113;POLYGON((35200 5200, 36800 5200, 36800 2800, 35200 2800, 35200 5200))
3114;POLYGON((33600 5200, 35200 5200, 35200 2800, 33600 2800, 33600 5200))
3115;POLYGON((40000 2800, 38400 2800, 38400 400, 40000 400, 40000 2800))
3116;POLYGON((36800 2800, 38400 2800, 38400 400, 36800 400, 36800 2800))
3117;POLYGON((35200 2800, 36800 2800, 36800 400, 35200 400, 35200 2800))
3118;POLYGON((33600 2800, 35200 2800, 35200 400, 33600 400, 33600 2800))
3021;POLYGON((32000 10000, 33600 10000, 33600 7600, 32000 7600, 32000 10000))
3022;POLYGON((30400 10000, 32000 10000, 32000 7600, 30400 7600, 30400 10000))
3023;POLYGON((28800 10000, 30400 10000, 30400 7600, 28800 7600, 28800 10000))
3024;POLYGON((27200 10000, 28800 10000, 28800 7600, 27200 7600, 27200 10000))
3025;POLYGON((33600 7600, 32000 7600, 32000 5200, 33600 5200, 33600 7600))
3026;POLYGON((30400 7600, 32000 7600, 32000 5200, 30400 5200, 30400 7600))
3027;POLYGON((28800 7600, 30400 7600, 30400 5200, 28800 5200, 28800 7600))
3028;POLYGON((27200 7600, 28800 7600, 28800 5200, 27200 5200, 27200 7600))
3121;POLYGON((32000 5200, 33600 5200, 33600 2800, 32000 2800, 32000 5200))
3122;POLYGON((30400 5200, 32000 5200, 32000 2800, 30400 2800, 30400 5200))
3123;POLYGON((28800 5200, 30400 5200, 30400 2800, 28800 2800, 28800 5200))
3124;POLYGON((27200 5200, 28800 5200, 28800 2800, 27200 2800, 27200 5200))
3125;POLYGON((33600 2800, 32000 2800, 32000 400, 33600 400, 33600 2800))
3126;POLYGON((30400 2800, 32000 2800, 32000 400, 30400 400, 30400 2800))
3127;POLYGON((28800 2800, 30400 2800, 30400 400, 28800 400, 28800 2800))
3128;POLYGON((27200 2800, 28800 2800, 28800 400, 27200 400, 27200 2800))
3031;POLYGON((25600 10000, 27200 10000, 27200 7600, 25600 7600, 25600 10000))
3032;POLYGON((24000 10000, 25600 10000, 25600 7600, 24000 7600, 24000 10000))
3033;POLYGON((22400 10000, 24000 10000, 24000 7600, 22400 7600, 22400 10000))
3034;POLYGON((20800 10000, 22400 10000, 22400 7600, 20800 7600, 20800 10000))
3035;POLYGON((27200 7600, 25600 7600, 25600 5200, 27200 5200, 27200 7600))
3036;POLYGON((24000 7600, 25600 7600, 25600 5200, 24000 5200, 24000 7600))
3037;POLYGON((22400 7600, 24000 7600, 24000 5200, 22400 5200, 22400 7600))
3038;POLYGON((20800 7600, 22400 7600, 22400 5200, 20800 5200, 20800 7600))
3131;POLYGON((25600 5200, 27200 5200, 27200 2800, 25600 2800, 25600 5200))
3132;POLYGON((24000 5200, 25600 5200, 25600 2800, 24000 2800, 24000 5200))
3133;POLYGON((22400 5200, 24000 5200, 24000 2800, 22400 2800, 22400 5200))
3134;POLYGON((20800 5200, 22400 5200, 22400 2800, 20800 2800, 20800 5200))
3135;POLYGON((27200 2800, 25600 2800, 25600 400, 27200 400, 27200 2800))
3136;POLYGON((24000 2800, 25600 2800, 25600 400, 24000 400, 24000 2800))
3137;POLYGON((22400 2800, 24000 2800, 24000 400, 22400 400, 22400 2800))
3138;POLYGON((20800 2800, 22400 2800, 22400 400, 20800 400, 20800 2800))
3041;POLYGON((19200 10000, 20800 10000, 20800 7600, 19200 7600, 19200 10000))
3042;POLYGON((17600 10000, 19200 10000, 19200 7600, 17600 7600, 17600 10000))
3043;POLYGON((16000 10000, 17600 10000, 17600 7600, 16000 7600, 16000 10000))
3044;POLYGON((14400 10000, 16000 10000, 16000 7600, 14400 7600, 14400 10000))
3045;POLYGON((20800 7600, 19200 7600, 19200 5200, 20800 5200, 20800 7600))
3046;POLYGON((17600 7600, 19200 7600, 19200 5200, 17600 5200, 17600 7600))
3047;POLYGON((16000 7600, 17600 7600, 17600 5200, 16000 5200, 16000 7600))
3048;POLYGON((14400 7600, 16000 7600, 16000 5200, 14400 5200, 14400 7600))
3141;POLYGON((19200 5200, 20800 5200, 20800 2800, 19200 2800, 19200 5200))
3142;POLYGON((17600 5200, 19200 5200, 19200 2800, 17600 2800, 17600 5200))
3143;POLYGON((16000 5200, 17600 5200, 17600 2800, 16000 2800, 16000 5200))
3144;POLYGON((14400 5200, 16000 5200, 16000 2800, 14400 2800, 14400 5200))
3145;POLYGON((20800 2800, 19200 2800, 19200 400, 20800 400, 20800 2800))
3146;POLYGON((17600 2800, 19200 2800, 19200 400, 17600 400, 17600 2800))
3147;POLYGON((16000 2800, 17600 2800, 17600 400, 16000 400, 16000 2800))
3148;POLYGON((14400 2800, 16000 2800, 16000 400, 14400 400, 14400 2800))
3051;POLYGON((12800 10000, 14400 10000, 14400 7600, 12800 7600, 12800 10000))
3052;POLYGON((11200 10000, 12800 10000, 12800 7600, 11200 7600, 11200 10000))
3053;POLYGON((9600 10000, 11200 10000, 11200 7600, 9600 7600, 9600 10000))
3054;POLYGON((8000 10000, 9600 10000, 9600 7600, 8000 7600, 8000 10000))
3055;POLYGON((14400 7600, 12800 7600, 12800 5200, 14400 5200, 14400 7600))
3056;POLYGON((11200 7600, 12800 7600, 12800 5200, 11200 5200, 11200 7600))
3057;POLYGON((9600 7600, 11200 7600, 11200 5200, 9600 5200, 9600 7600))
3058;POLYGON((8000 7600, 9600 7600, 9600 5200, 8000 5200, 8000 7600))
3151;POLYGON((12800 5200, 14400 5200, 14400 2800, 12800 2800, 12800 5200))
3152;POLYGON((11200 5200, 12800 5200, 12800 2800, 11200 2800, 11200 5200))
3153;POLYGON((9600 5200, 11200 5200, 11200 2800, 9600 2800, 9600 5200))
3154;POLYGON((8000 5200, 9600 5200, 9600 2800, 8000 2800, 8000 5200))
3155;POLYGON((14400 2800, 12800 2800, 12800 400, 14400 400, 14400 2800))
3156;POLYGON((11200 2800, 12800 2800, 12800 400, 11200 400, 11200 2800))
3157;POLYGON((9600 2800, 11200 2800, 11200 400, 9600 400, 9600 2800))
3158;POLYGON((8000 2800, 9600 2800, 9600 400, 8000 400, 8000 2800))
3061;POLYGON((6400 10000, 8000 10000, 8000 7600, 6400 7600, 6400 10000))
3062;POLYGON((4800 10000, 6400 10000, 6400 7600, 4800 7600, 4800 10000))
3063;POLYGON((3200 10000, 4800 10000, 4800 7600, 3200 7600, 3200 10000))
3064;POLYGON((1600 10000, 3200 10000, 3200 7600, 1600 7600, 1600 10000))
3065;POLYGON((8000 7600, 6400 7600, 6400 5200, 8000 5200, 8000 7600))
3066;POLYGON((4800 7600, 6400 7600, 6400 5200, 4800 5200, 4800 7600))
3067;POLYGON((3200 7600, 4800 7600, 4800 5200, 3200 5200, 3200 7600))
3068;POLYGON((1600 7600, 3200 7600, 3200 5200, 1600 5200, 1600 7600))
3161;POLYGON((6400 5200, 8000 5200, 8000 2800, 6400 2800, 6400 5200))
3162;POLYGON((4800 5200, 6400 5200, 6400 2800, 4800 2800, 4800 5200))
3163;POLYGON((3200 5200, 4800 5200, 4800 2800, 3200 2800, 3200 5200))
3164;POLYGON((1600 5200, 3200 5200, 3200 2800, 1600 2800, 1600 5200))
3165;POLYGON((8000 2800, 6400 2800, 6400 400, 8000 400, 8000 2800))
3166;POLYGON((4800 2800, 6400 2800, 6400 400, 4800 400, 4800 2800))
3167;POLYGON((3200 2800, 4800 2800, 4800 400, 3200 400, 3200 2800))
3168;POLYGON((1600 2800, 3200 2800, 3200 400, 1600 400, 1600 2800))
4011;POLYGON((38400 10000, 40000 10000, 40000 12400, 38400 12400, 38400 10000))
4012;POLYGON((36800 10000, 38400 10000, 38400 12400, 36800 12400, 36800 10000))
4013;POLYGON((35200 10000, 36800 10000, 36800 12400, 35200 12400, 35200 10000))
4014;POLYGON((33600 10000, 35200 10000, 35200 12400, 33600 12400, 33600 10000))
4015;POLYGON((40000 12400, 38400 12400, 38400 14800, 40000 14800, 40000 12400))
4016;POLYGON((36800 12400, 38400 12400, 38400 14800, 36800 14800, 36800 12400))
4017;POLYGON((35200 12400, 36800 12400, 36800 14800, 35200 14800, 35200 12400))
4018;POLYGON((33600 12400, 35200 12400, 35200 14800, 33600 14800, 33600 12400))
4111;POLYGON((38400 14800, 40000 14800, 40000 17200, 38400 17200, 38400 14800))
4112;POLYGON((36800 14800, 38400 14800, 38400 17200, 36800 17200, 36800 14800))
4113;POLYGON((35200 14800, 36800 14800, 36800 17200, 35200 17200, 35200 14800))
4114;POLYGON((33600 14800, 35200 14800, 35200 17200, 33600 17200, 33600 14800))
4115;POLYGON((40000 17200, 38400 17200, 38400 19600, 40000 19600, 40000 17200))
4116;POLYGON((36800 17200, 38400 17200, 38400 19600, 36800 19600, 36800 17200))
4117;POLYGON((35200 17200, 36800 17200, 36800 19600, 35200 19600, 35200 17200))
4118;POLYGON((33600 17200, 35200 17200, 35200 19600, 33600 19600, 33600 17200))
4211;POLYGON((38400 19600, 40000 19600, 40000 22000, 38400 22000, 38400 19600))
4212;POLYGON((36800 19600, 38400 19600, 38400 22000, 36800 22000, 36800 19600))
4213;POLYGON((35200 19600, 36800 19600, 36800 22000, 35200 22000, 35200 19600))
4214;POLYGON((33600 19600, 35200 19600, 35200 22000, 33600 22000, 33600 19600))
4215;POLYGON((40000 22000, 38400 22000, 38400 24400, 40000 24400, 40000 22000))
4216;POLYGON((36800 22000, 38400 22000, 38400 24400, 36800 24400, 36800 22000))
4217;POLYGON((35200 22000, 36800 22000, 36800 24400, 35200 24400, 35200 22000))
4218;POLYGON((33600 22000, 35200 22000, 35200 24400, 33600 24400, 33600 22000))
4311;POLYGON((38400 24400, 40000 24400, 40000 26800, 38400 26800, 38400 24400))
4312;POLYGON((36800 24400, 38400 24400, 38400 26800, 36800 26800, 36800 24400))
4313;POLYGON((35200 24400, 36800 24400, 36800 26800, 35200 26800, 35200 24400))
4314;POLYGON((33600 24400, 35200 24400, 35200 26800, 33600 26800, 33600 24400))
4315;POLYGON((40000 26800, 38400 26800, 38400 29200, 40000 29200, 40000 26800))
4316;POLYGON((36800 26800, 38400 26800, 38400 29200, 36800 29200, 36800 26800))
4317;POLYGON((35200 26800, 36800 26800, 36800 29200, 35200 29200, 35200 26800))
4318;POLYGON((33600 26800, 35200 26800, 35200 29200, 33600 29200, 33600 26800))
4411;POLYGON((38400 29200, 40000 29200, 40000 31600, 38400 31600, 38400 29200))
4412;POLYGON((36800 29200, 38400 29200, 38400 31600, 36800 31600, 36800 29200))
4413;POLYGON((35200 29200, 36800 29200, 36800 31600, 35200 31600, 35200 29200))
4414;POLYGON((33600 29200, 35200 29200, 35200 31600, 33600 31600, 33600 29200))
4415;POLYGON((40000 31600, 38400 31600, 38400 34000, 40000 34000, 40000 31600))
4416;POLYGON((36800 31600, 38400 31600, 38400 34000, 36800 34000, 36800 31600))
4417;POLYGON((35200 31600, 36800 31600, 36800 34000, 35200 34000, 35200 31600))
4418;POLYGON((33600 31600, 35200 31600, 35200 34000, 33600 34000, 33600 31600))
4511;POLYGON((38400 34000, 40000 34000, 40000 36400, 38400 36400, 38400 34000))
4512;POLYGON((36800 34000, 38400 34000, 38400 36400, 36800 36400, 36800 34000))
4513;POLYGON((35200 34000, 36800 34000, 36800 36400, 35200 36400, 35200 34000))
4514;POLYGON((33600 34000, 35200 34000, 35200 36400, 33600 36400, 33600 34000))
4515;POLYGON((40000 36400, 38400 36400, 38400 38800, 40000 38800, 40000 36400))
4516;POLYGON((36800 36400, 38400 36400, 38400 38800, 36800 38800, 36800 36400))
4517;POLYGON((35200 36400, 36800 36400, 36800 38800, 35200 38800, 35200 36400))
4518;POLYGON((33600 36400, 35200 36400, 35200 38800, 33600 38800, 33600 36400))
4021;POLYGON((32000 10000, 33600 10000, 33600 12400, 32000 12400, 32000 10000))
4022;POLYGON((30400 10000, 32000 10000, 32000 12400, 30400 12400, 30400 10000))
4023;POLYGON((28800 10000, 30400 10000, 30400 12400, 28800 12400, 28800 10000))
4024;POLYGON((27200 10000, 28800 10000, 28800 12400, 27200 12400, 27200 10000))
4025;POLYGON((33600 12400, 32000 12400, 32000 14800, 33600 14800, 33600 12400))
4026;POLYGON((30400 12400, 32000 12400, 32000 14800, 30400 14800, 30400 12400))
4027;POLYGON((28800 12400, 30400 12400, 30400 14800, 28800 14800, 28800 12400))
4028;POLYGON((27200 12400, 28800 12400, 28800 14800, 27200 14800, 27200 12400))
4121;POLYGON((32000 14800, 33600 14800, 33600 17200, 32000 17200, 32000 14800))
4122;POLYGON((30400 14800, 32000 14800, 32000 17200, 30400 17200, 30400 14800))
4123;POLYGON((28800 14800, 30400 14800, 30400 17200, 28800 17200, 28800 14800))
4124;POLYGON((27200 14800, 28800 14800, 28800 17200, 27200 17200, 27200 14800))
4125;POLYGON((33600 17200, 32000 17200, 32000 19600, 33600 19600, 33600 17200))
4126;POLYGON((30400 17200, 32000 17200, 32000 19600, 30400 19600, 30400 17200))
4127;POLYGON((28800 17200, 30400 17200, 30400 19600, 28800 19600, 28800 17200))
4128;POLYGON((27200 17200, 28800 17200, 28800 19600, 27200 19600, 27200 17200))
4221;POLYGON((32000 19600, 33600 19600, 33600 22000, 32000 22000, 32000 19600))
4222;POLYGON((30400 19600, 32000 19600, 32000 22000, 30400 22000, 30400 19600))
4223;POLYGON((28800 19600, 30400 19600, 30400 22000, 28800 22000, 28800 19600))
4224;POLYGON((27200 19600, 28800 19600, 28800 22000, 27200 22000, 27200 19600))
4225;POLYGON((33600 22000, 32000 22000, 32000 24400, 33600 24400, 33600 22000))
4226;POLYGON((30400 22000, 32000 22000, 32000 24400, 30400 24400, 30400 22000))
4227;POLYGON((28800 22000, 30400 22000, 30400 24400, 28800 24400, 28800 22000))
4228;POLYGON((27200 22000, 28800 22000, 28800 24400, 27200 24400, 27200 22000))
4321;POLYGON((32000 24400, 33600 24400, 33600 26800, 32000 26800, 32000 24400))
4322;POLYGON((30400 24400, 32000 24400, 32000 26800, 30400 26800, 30400 24400))
4323;POLYGON((28800 24400, 30400 24400, 30400 26800, 28800 26800, 28800 24400))
4324;POLYGON((27200 24400, 28800 24400, 28800 26800, 27200 26800, 27200 24400))
4325;POLYGON((33600 26800, 32000 26800, 32000 29200, 33600 29200, 33600 26800))
4326;POLYGON((30400 26800, 32000 26800, 32000 29200, 30400 29200, 30400 26800))
4327;POLYGON((28800 26800, 30400 26800, 30400 29200, 28800 29200, 28800 26800))
4328;POLYGON((27200 26800, 28800 26800, 28800 29200, 27200 29200, 27200 26800))
4421;POLYGON((32000 29200, 33600 29200, 33600 31600, 32000 31600, 32000 29200))
4422;POLYGON((30400 29200, 32000 29200, 32000 31600, 30400 31600, 30400 29200))
4423;POLYGON((28800 29200, 30400 29200, 30400 31600, 28800 31600, 28800 29200))
4424;POLYGON((27200 29200, 28800 29200, 28800 31600, 27200 31600, 27200 29200))
4425;POLYGON((33600 31600, 32000 31600, 32000 34000, 33600 34000, 33600 31600))
4426;POLYGON((30400 31600, 32000 31600, 32000 34000, 30400 34000, 30400 31600))
4427;POLYGON((28800 31600, 30400 31600, 30400 34000, 28800 34000, 28800 31600))
4428;POLYGON((27200 31600, 28800 31600, 28800 34000, 27200 34000, 27200 31600))
